,icd9,icd9_desc
144,01151,Tuberculous bronchiectasis
145,01152,Tuberculous bronchiectasis
146,01153,Tuberculous bronchiectasis
147,01154,Tuberculous bronchiectasis
148,01155,Tuberculous bronchiectasis
149,01156,Tuberculous bronchiectasis
150,01160,Tuberculous pneumonia [any form]
151,01161,Tuberculous pneumonia [any form]
152,01162,Tuberculous pneumonia [any form]
153,01163,Tuberculous pneumonia [any form]
154,01164,Tuberculous pneumonia [any form]
155,01165,Tuberculous pneumonia [any form]
156,01166,Tuberculous pneumonia [any form]
157,01170,Tuberculous pneumothorax
158,01171,Tuberculous pneumothorax
159,01172,Tuberculous pneumothorax
160,01173,Tuberculous pneumothorax
161,01174,Tuberculous pneumothorax
162,01175,Tuberculous pneumothorax
163,01176,Tuberculous pneumothorax
164,01180,Other specified pulmonary tuberculosis
165,01181,Other specified pulmonary tuberculosis
166,01182,Other specified pulmonary tuberculosis
167,01183,Other specified pulmonary tuberculosis
168,01184,Other specified pulmonary tuberculosis
169,01185,Other specified pulmonary tuberculosis
170,01186,Other specified pulmonary tuberculosis
171,01190,Pulmonary tuberculosis
172,01191,Pulmonary tuberculosis
173,01192,Pulmonary tuberculosis
174,01193,Pulmonary tuberculosis
175,01194,Pulmonary tuberculosis
176,01195,Pulmonary tuberculosis
177,01196,Pulmonary tuberculosis
178,01200,Tuberculous pleurisy
179,01201,Tuberculous pleurisy
180,01202,Tuberculous pleurisy
181,01203,Tuberculous pleurisy
182,01204,Tuberculous pleurisy
183,01205,Tuberculous pleurisy
184,01206,Tuberculous pleurisy
185,01210,Tuberculosis of intrathoracic lymph nodes
186,01211,Tuberculosis of intrathoracic lymph nodes
187,01212,Tuberculosis of intrathoracic lymph nodes
188,01213,Tuberculosis of intrathoracic lymph nodes
189,01214,Tuberculosis of intrathoracic lymph nodes
190,01215,Tuberculosis of intrathoracic lymph nodes
191,01216,Tuberculosis of intrathoracic lymph nodes
192,01220,Isolated tracheal or bronchial tuberculosis
193,01221,Isolated tracheal or bronchial tuberculosis
194,01222,Isolated tracheal or bronchial tuberculosis
195,01223,Isolated tracheal or bronchial tuberculosis
196,01224,Isolated tracheal or bronchial tuberculosis
197,01225,Isolated tracheal or bronchial tuberculosis
198,01226,Isolated tracheal or bronchial tuberculosis
199,01230,Tuberculous laryngitis
200,01231,Tuberculous laryngitis
201,01232,Tuberculous laryngitis
202,01233,Tuberculous laryngitis
203,01234,Tuberculous laryngitis
204,01235,Tuberculous laryngitis
205,01236,Tuberculous laryngitis
206,01280,Other specified respiratory tuberculosis
207,01281,Other specified respiratory tuberculosis
208,01282,Other specified respiratory tuberculosis
209,01283,Other specified respiratory tuberculosis
210,01284,Other specified respiratory tuberculosis
211,01285,Other specified respiratory tuberculosis
212,01286,Other specified respiratory tuberculosis
213,01300,Tuberculous meningitis
214,01301,Tuberculous meningitis
215,01302,Tuberculous meningitis
216,01303,Tuberculous meningitis
217,01304,Tuberculous meningitis
218,01305,Tuberculous meningitis
219,01306,Tuberculous meningitis
220,01310,Tuberculoma of meninges
221,01311,Tuberculoma of meninges
222,01312,Tuberculoma of meninges
223,01313,Tuberculoma of meninges
224,01314,Tuberculoma of meninges
225,01315,Tuberculoma of meninges
226,01316,Tuberculoma of meninges
227,01320,Tuberculoma of brain
228,01321,Tuberculoma of brain
229,01322,Tuberculoma of brain
230,01323,Tuberculoma of brain
231,01324,Tuberculoma of brain
232,01325,Tuberculoma of brain
233,01326,Tuberculoma of brain
234,01330,Tuberculous abscess of brain
235,01331,Tuberculous abscess of brain
236,01332,Tuberculous abscess of brain
237,01333,Tuberculous abscess of brain
238,01334,Tuberculous abscess of brain
239,01335,Tuberculous abscess of brain
240,01336,Tuberculous abscess of brain
241,01340,Tuberculoma of spinal cord
242,01341,Tuberculoma of spinal cord
243,01342,Tuberculoma of spinal cord
244,01343,Tuberculoma of spinal cord
245,01344,Tuberculoma of spinal cord
246,01345,Tuberculoma of spinal cord
247,01346,Tuberculoma of spinal cord
248,01350,Tuberculous abscess of spinal cord
249,01351,Tuberculous abscess of spinal cord
250,01352,Tuberculous abscess of spinal cord
251,01353,Tuberculous abscess of spinal cord
252,01354,Tuberculous abscess of spinal cord
253,01355,Tuberculous abscess of spinal cord
254,01356,Tuberculous abscess of spinal cord
255,01360,Tuberculous encephalitis or myelitis
256,01361,Tuberculous encephalitis or myelitis
257,01362,Tuberculous encephalitis or myelitis
258,01363,Tuberculous encephalitis or myelitis
259,01364,Tuberculous encephalitis or myelitis
260,01365,Tuberculous encephalitis or myelitis
261,01366,Tuberculous encephalitis or myelitis
262,01380,Other specified tuberculosis of central nervous system
263,01381,Other specified tuberculosis of central nervous system
264,01382,Other specified tuberculosis of central nervous system
265,01383,Other specified tuberculosis of central nervous system
266,01384,Other specified tuberculosis of central nervous system
267,01385,Other specified tuberculosis of central nervous system
268,01386,Other specified tuberculosis of central nervous system
269,01390,Unspecified tuberculosis of central nervous system
270,01391,Unspecified tuberculosis of central nervous system
271,01392,Unspecified tuberculosis of central nervous system
272,01393,Unspecified tuberculosis of central nervous system
273,01394,Unspecified tuberculosis of central nervous system
274,01395,Unspecified tuberculosis of central nervous system
275,01396,Unspecified tuberculosis of central nervous system
276,01400,Tuberculous peritonitis
277,01401,Tuberculous peritonitis
278,01402,Tuberculous peritonitis
279,01403,Tuberculous peritonitis
280,01404,Tuberculous peritonitis
281,01405,Tuberculous peritonitis
282,01406,Tuberculous peritonitis
283,01480,Other tuberculosis of intestines
284,01481,Other tuberculosis of intestines
285,01482,Other tuberculosis of intestines
286,01483,Other tuberculosis of intestines
287,01484,Other tuberculosis of intestines
288,01485,Other tuberculosis of intestines
289,01486,Other tuberculosis of intestines
290,01500,Tuberculosis of vertebral column
291,01501,Tuberculosis of vertebral column
292,01502,Tuberculosis of vertebral column
293,01503,Tuberculosis of vertebral column
294,01504,Tuberculosis of vertebral column
295,01505,Tuberculosis of vertebral column
296,01506,Tuberculosis of vertebral column
297,01510,Tuberculosis of hip
298,01511,Tuberculosis of hip
299,01512,Tuberculosis of hip
300,01513,Tuberculosis of hip
301,01514,Tuberculosis of hip
302,01515,Tuberculosis of hip
303,01516,Tuberculosis of hip
304,01520,Tuberculosis of knee
305,01521,Tuberculosis of knee
306,01522,Tuberculosis of knee
307,01523,Tuberculosis of knee
308,01524,Tuberculosis of knee
309,01525,Tuberculosis of knee
310,01526,Tuberculosis of knee
311,01550,Tuberculosis of limb bones
312,01551,Tuberculosis of limb bones
313,01552,Tuberculosis of limb bones
314,01553,Tuberculosis of limb bones
315,01554,Tuberculosis of limb bones
316,01555,Tuberculosis of limb bones
317,01556,Tuberculosis of limb bones
318,01560,Tuberculosis of mastoid
319,01561,Tuberculosis of mastoid
320,01562,Tuberculosis of mastoid
321,01563,Tuberculosis of mastoid
322,01564,Tuberculosis of mastoid
323,01565,Tuberculosis of mastoid
324,01566,Tuberculosis of mastoid
325,01570,Tuberculosis of other specified bone
326,01571,Tuberculosis of other specified bone
327,01572,Tuberculosis of other specified bone
328,01573,Tuberculosis of other specified bone
329,01574,Tuberculosis of other specified bone
330,01575,Tuberculosis of other specified bone
331,01576,Tuberculosis of other specified bone
332,01580,Tuberculosis of other specified joint
333,01581,Tuberculosis of other specified joint
334,01582,Tuberculosis of other specified joint
335,01583,Tuberculosis of other specified joint
336,01584,Tuberculosis of other specified joint
337,01585,Tuberculosis of other specified joint
338,01586,Tuberculosis of other specified joint
339,01590,Tuberculosis of unspecified bones and joints
340,01591,Tuberculosis of unspecified bones and joints
341,01592,Tuberculosis of unspecified bones and joints
342,01593,Tuberculosis of unspecified bones and joints
343,01594,Tuberculosis of unspecified bones and joints
344,01595,Tuberculosis of unspecified bones and joints
345,01596,Tuberculosis of unspecified bones and joints
346,01600,Tuberculosis of kidney
347,01601,Tuberculosis of kidney
348,01602,Tuberculosis of kidney
349,01603,Tuberculosis of kidney
350,01604,Tuberculosis of kidney
351,01605,Tuberculosis of kidney
352,01606,Tuberculosis of kidney
353,01610,Tuberculosis of bladder
354,01611,Tuberculosis of bladder
355,01612,Tuberculosis of bladder
356,01613,Tuberculosis of bladder
357,01614,Tuberculosis of bladder
358,01615,Tuberculosis of bladder
359,01616,Tuberculosis of bladder
360,01620,Tuberculosis of ureter
361,01621,Tuberculosis of ureter
362,01622,Tuberculosis of ureter
363,01623,Tuberculosis of ureter
364,01624,Tuberculosis of ureter
365,01625,Tuberculosis of ureter
366,01626,Tuberculosis of ureter
367,01630,Tuberculosis of other urinary organs
368,01631,Tuberculosis of other urinary organs
369,01632,Tuberculosis of other urinary organs
370,01633,Tuberculosis of other urinary organs
371,01634,Tuberculosis of other urinary organs
372,01635,Tuberculosis of other urinary organs
373,01636,Tuberculosis of other urinary organs
374,01640,Tuberculosis of epididymis
375,01641,Tuberculosis of epididymis
376,01642,Tuberculosis of epididymis
377,01643,Tuberculosis of epididymis
378,01644,Tuberculosis of epididymis
379,01645,Tuberculosis of epididymis
380,01646,Tuberculosis of epididymis
381,01650,Tuberculosis of other male genital organs
382,01651,Tuberculosis of other male genital organs
383,01652,Tuberculosis of other male genital organs
384,01653,Tuberculosis of other male genital organs
385,01654,Tuberculosis of other male genital organs
386,01655,Tuberculosis of other male genital organs
387,01656,Tuberculosis of other male genital organs
388,01660,Tuberculous oophoritis and salpingitis
389,01661,Tuberculous oophoritis and salpingitis
390,01662,Tuberculous oophoritis and salpingitis
391,01663,Tuberculous oophoritis and salpingitis
392,01664,Tuberculous oophoritis and salpingitis
393,01665,Tuberculous oophoritis and salpingitis
394,01666,Tuberculous oophoritis and salpingitis
395,01670,Tuberculosis of other female genital organs
396,01671,Tuberculosis of other female genital organs
397,01672,Tuberculosis of other female genital organs
398,01673,Tuberculosis of other female genital organs
399,01674,Tuberculosis of other female genital organs
400,01675,Tuberculosis of other female genital organs
401,01676,Tuberculosis of other female genital organs
402,01690,Genitourinary tuberculosis
403,01691,Genitourinary tuberculosis
404,01692,Genitourinary tuberculosis
405,01693,Genitourinary tuberculosis
406,01694,Genitourinary tuberculosis
407,01695,Genitourinary tuberculosis
408,01696,Genitourinary tuberculosis
409,01700,Tuberculosis of skin and subcutaneous cellular tissue
410,01701,Tuberculosis of skin and subcutaneous cellular tissue
411,01702,Tuberculosis of skin and subcutaneous cellular tissue
412,01703,Tuberculosis of skin and subcutaneous cellular tissue
413,01704,Tuberculosis of skin and subcutaneous cellular tissue
414,01705,Tuberculosis of skin and subcutaneous cellular tissue
415,01706,Tuberculosis of skin and subcutaneous cellular tissue
416,01710,Erythema nodosum with hypersensitivity reaction in tuberculosis
417,01711,Erythema nodosum with hypersensitivity reaction in tuberculosis
418,01712,Erythema nodosum with hypersensitivity reaction in tuberculosis
419,01713,Erythema nodosum with hypersensitivity reaction in tuberculosis
420,01714,Erythema nodosum with hypersensitivity reaction in tuberculosis
421,01715,Erythema nodosum with hypersensitivity reaction in tuberculosis
422,01716,Erythema nodosum with hypersensitivity reaction in tuberculosis
423,01720,Tuberculosis of peripheral lymph nodes
424,01721,Tuberculosis of peripheral lymph nodes
425,01722,Tuberculosis of peripheral lymph nodes
426,01723,Tuberculosis of peripheral lymph nodes
427,01724,Tuberculosis of peripheral lymph nodes
428,01725,Tuberculosis of peripheral lymph nodes
429,01726,Tuberculosis of peripheral lymph nodes
430,01730,Tuberculosis of eye
431,01731,Tuberculosis of eye
432,01732,Tuberculosis of eye
433,01733,Tuberculosis of eye
434,01734,Tuberculosis of eye
435,01735,Tuberculosis of eye
436,01736,Tuberculosis of eye
437,01740,Tuberculosis of ear
438,01741,Tuberculosis of ear
439,01742,Tuberculosis of ear
440,01743,Tuberculosis of ear
441,01744,Tuberculosis of ear
442,01745,Tuberculosis of ear
443,01746,Tuberculosis of ear
444,01750,Tuberculosis of thyroid gland
445,01751,Tuberculosis of thyroid gland
446,01752,Tuberculosis of thyroid gland
447,01753,Tuberculosis of thyroid gland
448,01754,Tuberculosis of thyroid gland
449,01755,Tuberculosis of thyroid gland
450,01756,Tuberculosis of thyroid gland
451,01760,Tuberculosis of adrenal glands
452,01761,Tuberculosis of adrenal glands
453,01762,Tuberculosis of adrenal glands
454,01763,Tuberculosis of adrenal glands
455,01764,Tuberculosis of adrenal glands
456,01765,Tuberculosis of adrenal glands
457,01766,Tuberculosis of adrenal glands
458,01770,Tuberculosis of spleen
459,01771,Tuberculosis of spleen
460,01772,Tuberculosis of spleen
461,01773,Tuberculosis of spleen
462,01774,Tuberculosis of spleen
463,01775,Tuberculosis of spleen
464,01776,Tuberculosis of spleen
465,01780,Tuberculosis of esophagus
466,01781,Tuberculosis of esophagus
467,01782,Tuberculosis of esophagus
468,01783,Tuberculosis of esophagus
469,01784,Tuberculosis of esophagus
470,01785,Tuberculosis of esophagus
471,01786,Tuberculosis of esophagus
472,01790,Tuberculosis of other specified organs
473,01791,Tuberculosis of other specified organs
474,01792,Tuberculosis of other specified organs
475,01793,Tuberculosis of other specified organs
476,01794,Tuberculosis of other specified organs
477,01795,Tuberculosis of other specified organs
478,01796,Tuberculosis of other specified organs
479,01800,Acute miliary tuberculosis
480,01801,Acute miliary tuberculosis
481,01802,Acute miliary tuberculosis
482,01803,Acute miliary tuberculosis
483,01804,Acute miliary tuberculosis
484,01805,Acute miliary tuberculosis
485,01806,Acute miliary tuberculosis
486,01880,Other specified miliary tuberculosis
487,01881,Other specified miliary tuberculosis
488,01882,Other specified miliary tuberculosis
489,01883,Other specified miliary tuberculosis
490,01884,Other specified miliary tuberculosis
491,01885,Other specified miliary tuberculosis
492,01886,Other specified miliary tuberculosis
493,01890,Miliary tuberculosis
494,01891,Miliary tuberculosis
495,01892,Miliary tuberculosis
496,01893,Miliary tuberculosis
497,01894,Miliary tuberculosis
498,01895,Miliary tuberculosis
499,01896,Miliary tuberculosis
500,0200, Bubonic plague
501,0201, Cellulocutaneous plague
502,0202, Septicemic plague
503,0203, Primary pneumonic plague
504,0204, Secondary pneumonic plague
505,0205, Pneumonic plague
506,0208, Other specified types of plague
507,0209, Plague
508,0210, Ulceroglandular tularemia
509,0211, Enteric tularemia
510,0212, Pulmonary tularemia
511,0213, Oculoglandular tularemia
512,0218, Other specified tularemia
513,0219, Unspecified tularemia
514,0220, Cutaneous anthrax
515,0221, Pulmonary anthrax
516,0222, Gastrointestinal anthrax
517,0223, Anthrax septicemia
518,0228, Other specified manifestations of anthrax
519,0229, Anthrax
520,0230, Brucella melitensis
521,0231, Brucella abortus
522,0232, Brucella suis
523,0233, Brucella canis
524,0238, Other brucellosis
525,0239, Brucellosis
526,024,  Glanders
527,025,  Melioidosis
528,0260, Spirillary fever
529,0261, Streptobacillary fever
530,0269, Unspecified rat-bite fever
531,0270, Listeriosis
532,0271, Erysipelothrix infection
533,0272, Pasteurellosis
534,0278, Other specified zoonotic bacterial diseases
535,0279, Unspecified zoonotic bacterial disease
536,0300, Lepromatous leprosy [type L]
537,0301, Tuberculoid leprosy [type T]
538,0302, Indeterminate leprosy [group I]
539,0303, Borderline leprosy [group B]
540,0308, Other specified leprosy
541,0309, Leprosy
542,0310, Pulmonary diseases due to other mycobacteria
543,0311, Cutaneous diseases due to other mycobacteria
544,0312, Disseminated due to other mycobacteria
545,0318, Other specified mycobacterial diseases
546,0319, Unspecified diseases due to mycobacteria
547,0320, Faucial diphtheria
548,0321, Nasopharyngeal diphtheria
549,0322, Anterior nasal diphtheria
550,0323, Laryngeal diphtheria
551,03281,Conjunctival diphtheria
552,03282,Diphtheritic myocarditis
553,03283,Diphtheritic peritonitis
554,03284,Diphtheritic cystitis
555,03285,Cutaneous diphtheria
556,03289,Other specified diphtheria
557,0329, Diphtheria
558,0330, Whooping cough due to bordetella pertussis [B. pertussis]
559,0331, Whooping cough due to bordetella parapertussis [B. parapertussis]
560,0338, Whooping cough due to other specified organism
561,0339, Whooping cough
562,0340, Streptococcal sore throat
563,0341, Scarlet fever
564,035,  Erysipelas
565,0360, Meningococcal meningitis
566,0361, Meningococcal encephalitis
567,0362, Meningococcemia
568,0363, Waterhouse-Friderichsen syndrome
569,03640,Meningococcal carditis
570,03641,Meningococcal pericarditis
571,03642,Meningococcal endocarditis
572,03643,Meningococcal myocarditis
573,03681,Meningococcal optic neuritis
574,03682,Meningococcal arthropathy
575,03689,Other specified meningococcal infections
576,0369, Meningococcal infection
577,037,  Tetanus
578,0380, Streptococcal septicemia
579,03810,Staphylococcal septicemia
580,03811,Methicillin susceptible Staphylococcus aureus septicemia
581,03812,Methicillin resistant Staphylococcus aureus septicemia
582,03819,Other staphylococcal septicemia
583,0382, Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
584,0383, Septicemia due to anaerobes
585,03840,Septicemia due to gram-negative organism
586,03841,Septicemia due to hemophilus influenzae [H. influenzae]
587,03842,Septicemia due to escherichia coli [E. coli]
588,03843,Septicemia due to pseudomonas
589,03844,Septicemia due to serratia
590,03849,Other septicemia due to gram-negative organisms
591,0388, Other specified septicemias
592,0389, Unspecified septicemia
593,0390, Cutaneous actinomycotic infection
594,0391, Pulmonary actinomycotic infection
595,0392, Abdominal actinomycotic infection
596,0393, Cervicofacial actinomycotic infection
597,0394, Madura foot
598,0398, Actinomycotic infection of other specified sites
599,0399, Actinomycotic infection of unspecified site
600,0400, Gas gangrene
601,0401, Rhinoscleroma
602,0402, Whipple's disease
603,0403, Necrobacillosis
604,04041,Infant botulism
605,04042,Wound botulism
606,04081,Tropical pyomyositis
607,04082,Toxic shock syndrome
608,04089,Other specified bacterial diseases
609,04100,Streptococcus infection in conditions classified elsewhere and of unspecified site
610,04101,Streptococcus infection in conditions classified elsewhere and of unspecified site
611,04102,Streptococcus infection in conditions classified elsewhere and of unspecified site
612,04103,Streptococcus infection in conditions classified elsewhere and of unspecified site
613,04104,Streptococcus infection in conditions classified elsewhere and of unspecified site
614,04105,Streptococcus infection in conditions classified elsewhere and of unspecified site
615,04109,Streptococcus infection in conditions classified elsewhere and of unspecified site
616,04110,Staphylococcus infection in conditions classified elsewhere and of unspecified site
617,04111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
618,04112,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
619,04119,Staphylococcus infection in conditions classified elsewhere and of unspecified site
620,0412, Pneumococcus infection in conditions classified elsewhere and of unspecified site
621,0413, Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site
622,04141,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157
623,04142,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)
624,04143,Shiga toxin-producing Escherichia coli [E. coli] (STEC)
625,04149,Other and unspecified Escherichia coli [E. coli]
626,0415, Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
627,0416, Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
628,0417, Pseudomonas infection in conditions classified elsewhere and of unspecified site
629,04181,Other specified bacterial infections in conditions classified elsewhere and of unspecified site
630,04182,Bacteroides fragilis
631,04183,Other specified bacterial infections in conditions classified elsewhere and of unspecified site
632,04184,Other specified bacterial infections in conditions classified elsewhere and of unspecified site
633,04185,Other specified bacterial infections in conditions classified elsewhere and of unspecified site
634,04186,Helicobacter pylori [H. pylori]
635,04189,Other specified bacterial infections in conditions classified elsewhere and of unspecified site
636,0419, Bacterial infection
637,042,  Human immunodeficiency virus [HIV] disease
638,04500,Acute paralytic poliomyelitis specified as bulbar
639,04501,Acute paralytic poliomyelitis specified as bulbar
640,04502,Acute paralytic poliomyelitis specified as bulbar
641,04503,Acute paralytic poliomyelitis specified as bulbar
642,04510,Acute poliomyelitis with other paralysis
643,04511,Acute poliomyelitis with other paralysis
644,04512,Acute poliomyelitis with other paralysis
645,04513,Acute poliomyelitis with other paralysis
646,04520,Acute nonparalytic poliomyelitis
647,04521,Acute nonparalytic poliomyelitis
648,04522,Acute nonparalytic poliomyelitis
649,04523,Acute nonparalytic poliomyelitis
650,04590,Acute poliomyelitis
651,04591,Acute poliomyelitis
652,04592,Acute poliomyelitis
653,04593,Acute poliomyelitis
654,0460, Kuru
655,04611,Variant Creutzfeldt-Jakob disease
656,04619,Other and unspecified Creutzfeldt-Jakob disease
657,0462, Subacute sclerosing panencephalitis
658,0463, Progressive multifocal leukoencephalopathy
659,04671,Gerstmann-Sträussler-Scheinker syndrome
660,04672,Fatal familial insomnia
661,04679,Other and unspecified prion disease of central nervous system
662,0468, Other specified slow virus infection of central nervous system
663,0469, Unspecified slow virus infection of central nervous system
664,0470, Meningitis due to coxsackie virus
665,0471, Meningitis due to echo virus
666,0478, Other specified viral meningitis
667,0479, Unspecified viral meningitis
668,048,  Other enterovirus diseases of central nervous system
669,0490, Lymphocytic choriomeningitis
670,0491, Meningitis due to adenovirus
671,0498, Other specified non-arthropod-borne viral diseases of central nervous system
672,0499, Unspecified non-arthropod-borne viral diseases of central nervous system
673,0500, Variola major
674,0501, Alastrim
675,0502, Modified smallpox
676,0509, Smallpox
677,05101,Cowpox
678,05102,Vaccinia not from vaccination
679,0511, Pseudocowpox
680,0512, Contagious pustular dermatitis
681,0519, Paravaccinia
682,0520, Postvaricella encephalitis
683,0521, Varicella (hemorrhagic) pneumonitis
684,0522, Postvaricella myelitis
685,0527, Chickenpox with other specified complications
686,0528, Chickenpox with unspecified complication
687,0529, Varicella without mention of complication
688,0530, Herpes zoster with meningitis
689,05310,Herpes zoster with unspecified nervous system complication
690,05311,Geniculate herpes zoster
691,05312,Postherpetic trigeminal neuralgia
692,05313,Postherpetic polyneuropathy
693,05314,Herpes zoster myelitis
694,05319,Herpes zoster with other nervous system complications
695,05320,Herpes zoster dermatitis of eyelid
696,05321,Herpes zoster keratoconjunctivitis
697,05322,Herpes zoster iridocyclitis
698,05329,Herpes zoster with other ophthalmic complications
699,05371,Otitis externa due to herpes zoster
700,05379,Herpes zoster with other specified complications
701,0538, Herpes zoster with unspecified complication
702,0539, Herpes zoster without mention of complication
703,0540, Eczema herpeticum
704,05410,Genital herpes
705,05411,Herpetic vulvovaginitis
706,05412,Herpetic ulceration of vulva
707,05413,Herpetic infection of penis
708,05419,Other genital herpes
709,0542, Herpetic gingivostomatitis
710,0543, Herpetic meningoencephalitis
711,05440,Herpes simplex with unspecified ophthalmic complication
712,05441,Herpes simplex dermatitis of eyelid
713,05442,Dendritic keratitis
714,05443,Herpes simplex disciform keratitis
715,05444,Herpes simplex iridocyclitis
716,05449,Herpes simplex with other ophthalmic complications
